numeric_signal_0,numeric_signal_1,numeric_signal_2,numeric_signal_3,numeric_signal_4,numeric_signal_5,category_context_0,category_context_1,category_context_2,final_outcome_flag,post_decision_status,risk_review_code,confirmed_result_code,case_resolution_type,followup_action_group,outcome_verification_score,workflow_bucket_id,service_path_code,review_priority_index,target
0.2552733874135629,1.0458967154958694,0.6766297384982174,0.787334942234184,0.6413696899145255,1.0007244972797444,low,high,high,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.5184440725429629,1
-0.4385872062572956,1.1663027472367895,-0.2061800996313799,1.386856802087665,-0.0412187894843712,-1.3892357295480728,high,mid,mid,0,pending,route_c,type_1,group_x,A12,0.1844493970290888,route_c,type_1,1.0,0
0.6416874371546496,1.2246270872263318,-2.5795447706867205,1.5709031134684914,0.1755805838303215,-1.8369699890394489,low,high,high,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.007670698884143762,0
0.723610587228875,0.6674607816393121,-1.1214628763181953,-0.7663410291638322,-0.5708304181671667,-1.0039852961486704,low,high,low,0,pending,route_c,type_1,group_n,A12,0.08580356865567336,route_c,type_1,0.008798629931170174,0
-0.4838111315410965,-0.3314562977246389,-1.407183331746093,0.6889205020346907,0.0760361613961286,-0.898866924391237,low,mid,low,0,pending,route_c,type_4,group_n,B07,0.0,route_c,type_1,1.0,0
1.226405143870384,1.1570963854639589,-0.3812846637415452,1.052926341341214,1.0866982829627487,1.4400500028031744,mid,high,high,1,closed,route_f,type_1,group_x,B07,0.7646312878528757,route_c,type_1,0.9941926467458532,1
0.6971028559082724,1.182453826605304,2.0354217350933617,3.0622859434606484,1.388866115297462,1.154803221636308,mid,low,low,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_1,0.0,1
-1.830768448394866,0.200651803955687,1.1706126290395835,-2.4873951277492203,-2.23842734340162,-2.5574641691403324,high,high,low,0,pending,route_c,type_1,group_n,B07,0.1537123021802705,route_f,type_1,0.12414145247858417,0
-1.8100324032725792,-0.6879338668371778,-0.9048200274707202,-0.6737445913879134,-0.532061487603241,-0.9253052458775026,low,low,high,0,pending,route_c,type_1,group_n,A12,0.13860192326384668,route_f,type_1,0.8902286385681135,0
-1.111413012134435,-0.0516441551650849,2.987649874865274,1.3892258187917306,-0.70004934072858,-1.8513403736097336,mid,high,low,1,closed,route_f,type_4,group_x,B07,0.9377428544784066,route_f,type_1,0.0,1
-0.0610434254699956,-0.735858449322835,1.8830894414637924,1.4556287078484915,-0.4106495409769377,-1.6095469027364455,mid,high,mid,1,closed,route_c,type_4,group_x,A12,0.9779022152447369,route_f,type_4,0.6123157441560342,1
1.0329639471528058,-0.1949452084289584,0.554827517573507,0.1944270966782392,-0.0380940885907191,-0.0764025174218204,mid,high,low,1,closed,route_c,type_4,group_x,B07,1.0,route_f,type_4,0.8550388676343003,1
-1.5184489439647402,1.2438529325863146,-1.4325842853983657,-0.3988757248699502,-0.4377542948719206,-1.125834820442144,low,mid,mid,0,pending,route_c,type_1,group_n,B07,0.0518732249486242,route_f,type_1,0.020278939773165482,0
-0.9941062330421928,-0.0309389971556241,-1.6330796289145746,1.5337082215496145,0.1238976407933258,-1.6105304765702728,high,high,high,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,0
-1.4480563720406896,-0.8427425900149415,0.0403439374818087,-0.459059747573743,0.4076277999408603,1.355943616312506,high,low,mid,1,closed,route_f,type_4,group_x,B07,0.7854729838343432,route_f,type_4,1.0,1
1.028682610696392,-1.316748846822057,-2.982590244310494,-0.5608861946554746,0.6956400412778866,1.1103223991203586,high,low,low,0,pending,route_c,type_1,group_n,A12,1.0,route_f,type_1,0.0,0
0.5280683677462349,0.4886919527092181,0.7599324922913288,0.6665692752746288,0.9327384861902636,1.80452525125691,mid,high,low,1,closed,route_f,type_4,group_n,B07,1.0,route_f,type_4,0.9103992290728729,1
-0.1613643730095305,-0.7095722929532247,0.6474722721420585,3.159684232813814,1.879262236641204,1.737528887205275,mid,mid,high,1,closed,route_f,type_4,group_x,A12,0.8413195517029741,route_f,type_1,1.0,1
-0.1995286733294087,-1.1631894610536389,-3.1603213442428637,0.0349003434389014,0.8342363154055967,0.8432521349705617,high,high,low,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_4,0.09558193759655992,0
0.5119240910292749,-0.1683082339620694,2.0154012440779883,1.263832048120434,0.35650575943676,0.3665133675460884,mid,mid,high,1,closed,route_f,type_1,group_n,B07,1.0,route_c,type_4,1.0,1
0.33951448381884,-0.6457713506365684,0.4871990398374732,-2.1253890943643574,-1.665645937948809,-1.786967764782874,low,low,high,0,pending,route_c,type_4,group_n,A12,1.0,route_c,type_1,0.0,0
-0.8432606042937426,-0.1352428956320314,2.744581143523483,1.2153447120218344,-0.4539142922511178,-1.212197291037171,mid,low,high,1,closed,route_f,type_4,group_x,A12,1.0,route_c,type_4,1.0,1
1.213731437725842,-0.140042851942238,1.3972250154003256,1.0690446371553934,-0.1101504552035067,-0.7374927244458926,low,high,low,1,pending,route_f,type_4,group_x,A12,0.9079833554448907,route_c,type_4,0.0,1
-0.4632689556608324,-0.219443811644863,1.7826356435700403,3.031831407615243,1.5337098779636642,1.431149332575698,high,mid,high,1,closed,route_f,type_4,group_n,B07,0.0,route_c,type_1,1.0,1
